"GeneName","jtk_adjp","jtk_q","jtk_lag","jtk_amp","jtk_per","paper_pval","paper_phase"
"orf25",1,1,22,8.56190782405635,24,NA,NA
"orf149",1,1,18,61.8828105164429,24,NA,NA
"orf119",1,1,12,14.1580312734396,24,NA,NA
"ccb382",0.639745803828524,0.912184339287234,0,121.342631241064,24,NA,NA
"nad3",0.264142704721749,0.448035883544367,22,49.1761559774482,24,NA,NA
"orf114",0.0259398287286943,0.0721385556333198,20,44.4212869173034,24,0.0259398287286943,24
"nad4",0.542921540119544,0.802109502680566,22,113.356849342792,24,NA,NA
"psaC",1,1,6,211.736807178176,24,NA,NA
"ndhE",1,1,6,300.723626074747,24,NA,NA
"ndhG",1,1,6,93.368508591135,24,NA,NA
"ndhI",1,1,0,973.506564999261,24,NA,NA
"ndhA",0.00202616369974563,0.0106865270529473,2,1339.73438878904,24,0.00202616369974563,6
"ndhH",0.0146667741397258,0.0462676657661603,2,236.829515141084,24,0.0146667741397258,6
"rps15",1,1,6,91.640294219945,24,NA,NA
"rps12.1",0.639745803828524,0.912184339287234,2,292.96767857001,24,NA,NA
"rps12.2",0.0339927838268174,0.0888413192520794,0,1308.08358216462,24,0.0339927838268174,4
"nad9",0.872348835338331,1,22,10.5428147558265,24,NA,NA
"rpl16.mitochondria",1,1,0,33.6557995700654,24,NA,NA
"ccb452",1,1,22,10.01278983258,24,NA,NA
"nad6",1,1,22,5.67806391706498,24,NA,NA
"orf107c",1,1,6,28.210847928793,24,NA,NA
"rpl32",0.749267486277728,1,0,818.25760309198,24,NA,NA
"ycf5",0.542921540119544,0.802109502680566,4,462.997282020138,24,NA,NA
"ndhD",1,1,0,826.280504815324,24,NA,NA
"psbF",0.872348835338331,1,2,1128.84886302672,24,NA,NA
"psbE",0.0916259311416874,0.193828871084249,2,1048.5487371828,24,NA,NA
"ORF31",1,1,22,412.808688511553,24,NA,NA
"petG",0.749267486277728,1,4,132.627267214838,24,NA,NA
"psaJ",0.176851105389708,0.326822521283723,2,759.151458616166,24,NA,NA
"rpl33",0.00202616369974563,0.0106865270529473,22,1925.90078753796,24,0.00202616369974563,2
"rps18",0.00290735385063116,0.0140400253641055,0,526.746749771053,24,0.00290735385063116,4
"rpl20",1,1,0,128.816314275596,24,NA,NA
"clpP",0.639745803828524,0.912184339287234,0,1211.71002587876,24,NA,NA
"psbB",1,1,6,415.227006627413,24,NA,NA
"psbT",0.639745803828524,0.912184339287234,2,284.545317983629,24,NA,NA
"psbN",1,1,0,106.486945974523,24,NA,NA
"psbH",0.0259398287286943,0.0721385556333198,2,1560.09692336558,24,0.0259398287286943,6
"petB",1,1,0,1147.74602187479,24,NA,NA
"petD",1,1,0,15.8412997079643,24,NA,NA
"rpoA",1,1,0,870.818856019357,24,NA,NA
"rps11",0.383706374245502,0.606720015852436,0,1967.12789574215,24,NA,NA
"rpl36",0.176851105389708,0.326822521283723,0,1706.07555926293,24,NA,NA
"rps8",0.0916259311416874,0.193828871084249,0,1541.39507701312,24,NA,NA
"rpl14",0.264142704721749,0.448035883544367,0,813.770033607758,24,NA,NA
"rpl16.chloroplast",1,1,0,935.534080895186,24,NA,NA
"rps3.chloroplast",0.749267486277728,1,0,989.78892935149,24,NA,NA
"rpl22",1,1,22,1046.19641188858,24,NA,NA
"rps19",0.176851105389708,0.326822521283723,0,1159.09445339934,24,NA,NA
"rpl2.1_chloro",1,1,22,1406.82760273976,24,NA,NA
"rpl23.1",0.319437189910929,0.522969749545874,2,1140.43962474305,24,NA,NA
"ycf2.1",1,1,6,6.09041245452785,24,NA,NA
"orf77.1",1,1,2,25.2677054223949,24,NA,NA
"ndhB.1",1,1,0,42.1493208569494,24,NA,NA
"rps7.1_chloroplast",1,1,0,523.030512041336,24,NA,NA
"ycf1.1",1,1,6,860.882905705107,24,NA,NA
"ndhF",1,1,6,53.2494315969443,24,NA,NA
"atpI",1,1,6,110.024172160207,24,NA,NA
"rps2",0.0916259311416874,0.193828871084249,2,756.051717007335,24,NA,NA
"rpoC2",0.872348835338331,1,0,563.740342299724,24,NA,NA
"rpoC1",0.176851105389708,0.326822521283723,0,465.486821142725,24,NA,NA
"rpoB",1,1,0,37.9358070702468,24,NA,NA
"ycf6",1,1,0,37.7137137686587,24,NA,NA
"psbM",1,1,10,884.362881623919,24,NA,NA
"psbD",1,1,6,442.000362532259,24,NA,NA
"psbC",1,1,0,1130.83210770129,24,NA,NA
"ycf9",0.176851105389708,0.326822521283723,2,1200.16646011772,24,NA,NA
"rps14",1,1,10,9.96086623094243,24,NA,NA
"psaB",1,1,6,650.342855447995,24,NA,NA
"psaA",0.872348835338331,1,0,2418.71641544312,24,NA,NA
"ycf3",0.216907890953584,0.382542674962674,2,712.604939118241,24,NA,NA
"rps4.chloroplast",0.0916259311416874,0.193828871084249,22,1315.89529129296,24,NA,NA
"ndhJ",0.749267486277728,1,2,276.671526045891,24,NA,NA
"psbG",0.872348835338331,1,4,157.758155851705,24,NA,NA
"ndhC",1,1,6,925.382468245121,24,NA,NA
"atpE",1,1,0,811.047357682323,24,NA,NA
"atpB",1,1,0,758.21736547787,24,NA,NA
"rbcL",0.542921540119544,0.802109502680566,0,334.793858564249,24,NA,NA
"accD",0.383706374245502,0.606720015852436,4,363.884985682132,24,NA,NA
