"GeneName","jtk_adjp","jtk_q","jtk_lag","jtk_amp","jtk_per","paper_pval","paper_phase"
"Cpa|evm.model.tig00021281.16",0.727306505198312,0.824893358783885,17,0.413505438859398,24,NA,NA
"Cpa|evm.model.tig00020960.55",1.36443047862213e-09,1.48097012602844e-08,12,1.58211747541544,24,1.36443047862213e-09,13
"Cpa|evm.model.tig00020830.117",0.372495016110073,0.442100038359269,14,0.469329312884142,24,NA,NA
"Cpa|evm.model.tig00000093.113",0.0590633145807872,0.0807550879967001,13,0.520987007976114,24,NA,NA
"Cpa|evm.model.tig00000523.49",0.0877767919688419,0.116557081696259,19,0.97793706360676,24,NA,NA
"Cpa|evm.model.tig00000057.99",0.0253620797345938,0.0372429397297138,23,4.34305733300529,24,0.0253620797345938,24
"Cpa|evm.model.tig00001155.5",1.76690496426816e-09,1.83224588745779e-08,2,31.047396412195,24,1.76690496426816e-09,3
"Cpa|evm.model.tig00001545.11",0.127973952432243,0.164513003183527,16,1.59233444821533,24,NA,NA
"Cpa|evm.model.tig00020904.76",8.1051329213735e-06,2.71799920954934e-05,12,15.7994203223497,24,8.1051329213735e-06,13
"Cpa|evm.model.tig00001030.42",0.0229815096748871,0.0340567183468256,16,0.445189460595699,24,0.0229815096748871,17
"Cpa|evm.model.tig00020904.110",1,1,22,4.32043592818272,24,NA,NA
"Cpa|evm.model.tig00001073.11",1.09918735115012e-06,4.67010102986771e-06,13,1.94820221008681,24,1.09918735115012e-06,14
"Cpa|evm.model.tig00020800.13",0.240257715191489,0.293975632039207,17,2.86753887647991,24,NA,NA
"Cpa|evm.model.tig00000889.12",1.93973267720146e-11,4.79003855439923e-10,10,20.9539016867257,24,1.93973267720146e-11,11
"Cpa|evm.model.tig00021522.18",0.000122037809271663,0.000300445716774598,14,1.08350690961324,24,0.000122037809271663,15
"Cpa|evm.model.tig00000215.121",1.88156846482344e-05,5.70421890738558e-05,11,8.47752306581054,24,1.88156846482344e-05,12
"Cpa|evm.model.tig00001126.5",1.60561324585694e-06,6.53532358828288e-06,1,77.1388995817167,24,1.60561324585694e-06,2
"Cpa|evm.model.tig00000808.12",0.000499239948143525,0.00106308594455314,14,0.454731235161456,24,0.000499239948143525,15
"Cpa|evm.model.tig00020960.57",0.0996690489880436,0.130590470812648,22,4.70773417617924,24,NA,NA
"Cpa|evm.model.tig00020816.15",0.138859013359859,0.177336883593045,21,1.6941222519318,24,NA,NA
"Cpa|evm.model.tig00000403.94",0.00016344059424198,0.000391192110795032,5,3.10462006009364,24,0.00016344059424198,6
"Cpa|evm.model.tig00001374.2",0.0956066658813969,0.126085749897225,19,0.153492354178635,24,NA,NA
"Cpa|evm.model.tig00000350.41",0.0645868413796852,0.0875801905528223,15,0.38049806395368,24,NA,NA
"Cpa|evm.model.tig00000402.29",0.127973952432243,0.164513003183527,7,4.17704247057812,24,NA,NA
"Cpa|evm.model.tig00001729.6",2.21645700560115e-05,6.59456210102131e-05,22,1.39066878604941,24,2.21645700560115e-05,23
"Cpa|evm.model.tig00000718.9",1,1,8,5.88869499386329,24,NA,NA
"Cpa|evm.model.tig00000851.37",2.54419117657311e-08,1.75598874331012e-07,14,9.30786757511471,24,2.54419117657311e-08,15
"Cpa|evm.model.tig00000144.86",1.34974262245945e-05,4.25541415908281e-05,15,3.48257352958454,24,1.34974262245945e-05,16
