"GeneName","jtk_adjp","jtk_q","jtk_lag","jtk_amp","jtk_per","paper_pval","paper_phase"
"Pp1s263_83V6.1",1,1,6,0.576761892052067,24,NA,NA
"Pp1s177_18V6.1",0.0308014115031162,0.0600678129039412,23,7.71893712904452,24,0.0308014115031162,24
"Pp1s202_46V6.1",0.198573982853482,0.305870645061458,15,0.150149172409068,24,NA,NA
"Pp1s199_47V6.1",4.00106888006657e-08,8.5572410101604e-07,13,2.70253390059888,24,4.00106888006657e-08,14
"Pp1s340_33V6.1",0.19088364873916,0.294300767712577,7,0.124416703163805,24,NA,NA
"Pp1s325_16V6.1",2.81736321667016e-12,4.33063183362407e-10,18,8.72459520986046,24,2.81736321667016e-12,19
"Pp1s184_72V6.1",2.21645700560115e-05,0.000140274941888845,14,1.64692897131582,24,2.21645700560115e-05,15
"Pp1s6_417V6.1",1,1,4,0.547845724552316,24,NA,NA
"Pp1s54_52V6.1",0.206264316967803,0.314564125362889,6,8.13935224937636,24,NA,NA
"Pp1s156_123V6.1",0.000217736903592499,0.000915240346676634,12,4.00410831550637,24,0.000217736903592499,13
"Pp1s433_18V6.1",1,1,10,0.551122427501073,24,NA,NA
"Pp1s444_27V6.2",0.006526548482412,0.0157959033614878,13,43.8835816252957,24,0.006526548482412,14
"Pp1s178_19V6.2",2.23892942547126e-07,3.44150835285029e-06,13,19.4618507291184,24,2.23892942547126e-07,14
"Pp1s91_24V6.1",0.000331576311891244,0.00129467461254903,18,2.78225775596257,24,0.000331576311891244,19
"Pp1s17_139V6.2",0.0915442827747501,0.155097545457562,13,1.61743154348038,24,NA,NA
"Pp1s15_446V6.1",0.000250825413911797,0.00102783578704247,14,1.22785683414475,24,0.000250825413911797,15
"Pp1s55_110V6.2",0.0308014115031162,0.0600678129039412,17,0.467420805341993,24,0.0308014115031162,18
"Pp1s69_179V6.1",0.00369924757526218,0.00969673950350285,14,0.348003604331268,24,0.00369924757526218,15
"Pp1s305_19V6.1",0.38606732713119,0.547178408722057,12,0.15374089266628,24,NA,NA
"Pp1s159_2V6.1",9.06975779783577e-07,1.05835305903091e-05,17,4.4609945010099,24,9.06975779783577e-07,18
"Pp1s6_343V6.1",8.1051329213735e-06,6.18258729018444e-05,14,0.671886687259277,24,8.1051329213735e-06,15
"Pp1s34_52V6.1",0.0590633145807872,0.105797013693251,20,2.76266509100926,24,NA,NA
"Pp1s210_66V6.1",0.0138388712938145,0.0301039833092691,17,1.42232822610234,24,0.0138388712938145,18
"Pp1s133_35V6.1",8.1051329213735e-06,6.18258729018444e-05,16,0.900651359270426,24,8.1051329213735e-06,17
