"GeneName","jtk_adjp","jtk_q","jtk_lag","jtk_amp","jtk_per","paper_pval","paper_phase"
"Smo444771|PACid_15419068",3.19423979740113e-08,1.54519475645408e-07,16,3.33590700833301,24,3.19423979740113e-08,17
"Smo146310|PACid_15423345",0.1084218740762,0.144171883853867,4,5.92678246978142,24,NA,NA
"Smo77427|PACid_15418601",0.0645868413796852,0.0889539404332072,11,4.23598239112317,24,NA,NA
"Smo93539|PACid_15421977",0.428431123379186,0.519575952628311,2,1.05071821154546,24,NA,NA
"Smo19194|PACid_15401402",0.0229815096748871,0.0340223750449163,18,10.3017683379821,24,0.0229815096748871,19
"Smo235298|PACid_15404613",8.1051329213735e-06,2.24234303308883e-05,12,10.7243985145002,24,8.1051329213735e-06,13
"Smo437699|PACid_15419874",5.72292595476361e-06,1.63430031682371e-05,11,2.30405672042365,24,5.72292595476361e-06,12
"Smo89539|PACid_15410127",2.02165598749897e-08,1.02613979710308e-07,0,35.9021845433307,24,2.02165598749897e-08,1
"Smo442676|PACid_15412442",0.0153461225951521,0.0234472824007116,4,5.56448322012621,24,0.0153461225951521,5
"Smo420739|PACid_15415207",0.0915442827747501,0.123169758085737,20,2.17810788586354,24,NA,NA
"Smo271323|PACid_15422320",3.37197933284195e-07,1.26313227178442e-06,16,15.8640643831424,24,3.37197933284195e-07,17
"Smo109437|PACid_15404148",4.01435224878746e-06,1.18200770090213e-05,17,2.61939891598403,24,4.01435224878746e-06,18
"Smo444652|PACid_15418210",4.12579138229771e-07,1.51217867337839e-06,19,30.5817222523497,24,4.12579138229771e-07,20
"Smo89551|PACid_15410186",0.0279628419363496,0.0408430417438345,9,1.77133995115734,24,0.0279628419363496,10
"Smo410663|PACid_15407140",1,1,6,0.856626647298691,24,NA,NA
"Smo89261|PACid_15407766",0.525439924327387,0.628347787063783,11,5.25959902231349,24,NA,NA
"Smo403568|PACid_15407956",8.1051329213735e-06,2.24234303308883e-05,20,3.93500753497361,24,8.1051329213735e-06,21
"Smo113996|PACid_15420191",7.14255530470683e-13,1.25938146260317e-11,14,4.21086325604686,24,7.14255530470683e-13,15
"Smo415639|PACid_15421712",2.32861982968407e-06,7.20526023126343e-06,16,3.43359318330377,24,2.32861982968407e-06,17
"Smo174168|PACid_15415541",0.00259776754709449,0.00450050397030262,1,3.33037619657437,24,0.00259776754709449,2
"Smo108836|PACid_15404272",9.6222987116414e-06,2.62333746585282e-05,14,3.03884052687809,24,9.6222987116414e-06,15
"Smo407304|PACid_15418091",5.00023404014991e-08,2.30197873180428e-07,12,1.53213164980833,24,5.00023404014991e-08,13
"Smo79335|PACid_15401315",0.372495016110073,0.455695520598891,16,1.6183327063485,24,NA,NA
"Smo447781|PACid_15405423",1,1,6,0.247875583523445,24,NA,NA
"Smo444139|PACid_15414414",5.63903098318212e-23,8.45136952624913e-20,12,745.621245970495,24,5.63903098318212e-23,13
"Smo96631|PACid_15409293",0.00813098439587124,0.0129979064045703,12,3.50871043244239,24,0.00813098439587124,13
"Smo417794|PACid_15406194",1,1,18,0.449565569278757,24,NA,NA
"Smo130474|PACid_15421846",3.06184291918419e-05,7.51042142027534e-05,22,7.07153052840095,24,3.06184291918419e-05,23
"Smo73164|PACid_15404577",0.000905290828300928,0.00170411333584941,5,2.6503005836407,24,0.000905290828300928,6
"Smo88488|PACid_15406472",0.00583823531687028,0.00956941215290548,16,2.68629156414338,24,0.00583823531687028,17
"Smo79447|PACid_15402153",2.60702153235381e-05,6.4933308630284e-05,15,1.81515829242399,24,2.60702153235381e-05,16
"Smo170654|PACid_15407450",0.0645868413796852,0.0889539404332072,12,5.50145926824837,24,NA,NA
"Smo172535|PACid_15412636",1.4745167564186e-07,6.0469858821684e-07,15,11.5258564697598,24,1.4745167564186e-07,16
"Smo431977|PACid_15404468",9.99702631935445e-09,5.49186857383797e-08,14,2.98809955365508,24,9.99702631935445e-09,15
"Smo430219|PACid_15418484",0.0770276146561396,0.10488785456522,11,0.617191346641696,24,NA,NA
"Smo269321|PACid_15416303",1.93532499607445e-06,6.09703189093892e-06,11,19.9300806822302,24,1.93532499607445e-06,12
"Smo98964|PACid_15417514",1.93532499607445e-06,6.09703189093892e-06,12,8.78238439048666,24,1.93532499607445e-06,13
"Smo417901|PACid_15407432",0.00465710966178396,0.00775604706376103,14,1.7999158944061,24,0.00465710966178396,15
"Smo164271|PACid_15409025",3.59071551455286e-05,8.6798439842989e-05,22,20.5811263761034,24,3.59071551455286e-05,23
"Smo75404|PACid_15412714",1.036291778154e-11,1.27972331495482e-10,9,9.5636108575459,24,1.036291778154e-11,10
"Smo407423|PACid_15418952",0.000570794194130918,0.00110590117339785,20,5.44081524334163,24,0.000570794194130918,21
"Smo428235|PACid_15412438",7.24447254776778e-05,0.000166340354348885,15,0.424918004421927,24,7.24447254776778e-05,16
"Smo437414|PACid_15418151",2.02165598749897e-08,1.02613979710308e-07,21,10.1471363709169,24,2.02165598749897e-08,22
"Smo230259|PACid_15412361",1,1,2,0.146978650205564,24,NA,NA
"Smo418581|PACid_15407485",1,1,10,0.142788682609682,24,NA,NA
"Smo115371|PACid_15421297",0.138859013359859,0.18181476405771,8,3.15691634473392,24,NA,NA
"Smo167322|PACid_15418477",0.0590633145807872,0.0819007321203513,16,3.13799589968098,24,NA,NA
"Smo407847|PACid_15421931",0.682534345177137,0.799506978441827,16,0.555123924269711,24,NA,NA
"Smo68710|PACid_15416533",6.69426957420012e-05,0.00015377139222553,8,19.9399137833756,24,6.69426957420012e-05,9
"Smo232661|PACid_15421165",0.346924415756792,0.426629562745523,16,3.18259798042623,24,NA,NA
"Smo427439|PACid_15411089",0.117842856009381,0.15594455965409,5,1.07661647717837,24,NA,NA
"Smo99900|PACid_15420286",2.81736321667016e-12,4.106724137049e-11,21,42.0219892215415,24,2.81736321667016e-12,22
"Smo415694|PACid_15421855",4.00106888006657e-08,1.88461775876507e-07,20,2.60352151433309,24,4.00106888006657e-08,21
"Smo68476|PACid_15414532",9.6222987116414e-06,2.62333746585282e-05,8,16.5441355941596,24,9.6222987116414e-06,9
"Smo404652|PACid_15411781",6.14058336653434e-07,2.16080378614056e-06,8,2.02135140586768,24,6.14058336653434e-07,9
"Smo96034|PACid_15404581",0.000743430919571751,0.0014126558483241,10,0.506242221859787,24,0.000743430919571751,11
"Smo70673|PACid_15421982",9.62970351485882e-08,4.1299503680011e-07,21,9.77410387141608,24,9.62970351485882e-08,22
"Smo407368|PACid_15418254",4.12579138229771e-07,1.51217867337839e-06,14,9.41107139975849,24,4.12579138229771e-07,15
"Smo91600|PACid_15416944",1.32968919576202e-06,4.33826560089702e-06,17,38.6317092383298,24,1.32968919576202e-06,18
"Smo176429|PACid_15423416",9.0633950379338e-05,0.000203125517394476,14,7.45504019372328,24,9.0633950379338e-05,15
"Smo100105|PACid_15420216",0.00415285174261279,0.00696408440939014,16,2.29066779671101,24,0.00415285174261279,17
"Smo111389|PACid_15409708",0.258987762830227,0.325234023310415,10,0.6340493736995,24,NA,NA
"Smo74004|PACid_15406667",0.491254378756057,0.589948986609291,20,0.388468343549278,24,NA,NA
"Smo107444|PACid_15420732",1.62643274919012e-19,2.94652420913717e-17,11,83.8086226885805,24,1.62643274919012e-19,12
"Smo59179|PACid_15407760",1,1,6,2.185132639949,24,NA,NA
"Smo426997|PACid_15412056",0.0590633145807872,0.0819007321203513,5,18.570881600746,24,NA,NA
"Smo407804|PACid_15421822",0.640044765419912,0.753913832717395,10,0.247484742978066,24,NA,NA
"Smo166499|PACid_15416456",1.0764617830545e-14,3.33581747282642e-13,14,8.21831420778992,24,1.0764617830545e-14,15
"Smo437242|PACid_15416680",4.12579138229771e-07,1.51217867337839e-06,14,7.11949512286161,24,4.12579138229771e-07,15
"Smo90552|PACid_15413423",0.00813098439587124,0.0129979064045703,13,3.91684902116548,24,0.00813098439587124,14
"Smo7969|PACid_15406097",7.46984885410435e-07,2.58714134892362e-06,11,18.6638810624251,24,7.46984885410435e-07,12
"Smo232175|PACid_15417461",1,1,18,2.74388220650954,24,NA,NA
"Smo403655|PACid_15408764",1.76690496426816e-09,1.18507710500101e-08,17,14.0635960449465,24,1.76690496426816e-09,18
"Smo440901|PACid_15408618",4.01435224878746e-06,1.18200770090213e-05,4,23.4240478286833,24,4.01435224878746e-06,5
"Smo438654|PACid_15422661",4.20480229557618e-05,0.000100304399717651,21,31.0154354420116,24,4.20480229557618e-05,22
"Smo446572|PACid_15423236",0.0338965494580158,0.0489247517391743,3,0.376026389612368,24,0.0338965494580158,4
"Smo11951|PACid_15406361",9.62970351485882e-08,4.1299503680011e-07,19,1.56012125569471,24,9.62970351485882e-08,20
"Smo76736|PACid_15417977",1.01356670501792e-12,1.69126120434468e-11,15,44.4841057169859,24,1.01356670501792e-12,16
"Smo15530|PACid_15415033",0.00906164990753791,0.014394908496403,18,1.24997608178335,24,0.00906164990753791,19
"Smo48533|PACid_15422906",4.00106888006657e-08,1.88461775876507e-07,16,3.24407403313366,24,4.00106888006657e-08,17
"Smo449338|PACid_15408044",0.0915442827747501,0.123169758085737,10,6.38006713240643,24,NA,NA
"Smo109643|PACid_15405764",0.0153461225951521,0.0234472824007116,14,0.249077617321754,24,0.0153461225951521,15
"Smo232676|PACid_15421190",0.0705644770037604,0.0967020754683287,12,1.18494753521385,24,NA,NA
"Smo430311|PACid_15419239",0.727306505198312,0.847735792187455,17,0.093756241651019,24,NA,NA
"Smo438018|PACid_15418022",0.000743430919571751,0.0014126558483241,11,2.08340138179405,24,0.000743430919571751,12
"Smo47017|PACid_15416258",0.930919228067546,1,6,0.541892814593035,24,NA,NA
"Smo2225|PACid_15408322",0.0138388712938145,0.0213202160685755,7,1.46669895918646,24,0.0138388712938145,8
