"GeneName","jtk_adjp","jtk_q","jtk_lag","jtk_amp","jtk_per","paper_pval","paper_phase"
"sll0823",0.048860921743686,0.0680871445680705,3,86.871271858254,24,NA,NA
"sll1547",7.75783933229024e-06,0.0002186701541874,18,162.980220145451,24,6.48745621948962e-06,20
"sll1746",0.00117955776258611,0.00331404113686065,6,3493.09600029986,24,0.000357405883149302,8
"slr0467",0.201718738161192,0.252658549568227,22,50.0666713731528,24,NA,NA
"sll0450",5.42231200338261e-06,0.000177350525620071,11,1175.89549528455,24,1.81192794749677e-05,12
"sll0413",0.513637661289671,0.597979103993045,2,78.1158995585331,24,NA,NA
"sll0756",0.0286918580934396,0.042150284749981,20,115.998360556342,24,0.0249808289883664,22
"sll2507",0.0806795015977845,0.107998390748849,5,145.326849639768,24,NA,NA
"sll1957",0.00150496631867209,0.003923096411155,18,134.929392332352,24,0.00128052241417481,20
"sll1825",0.041059883586111,0.0583899164860733,17,318.671466751084,24,0.0358729884449547,19
"sll1446",0.000185138521506077,0.00110859283948458,18,173.741978762927,24,0.000155839998598738,20
"6803t27",1,1,8,12189.3910160406,24,NA,NA
"sll1086",0.129367463202599,0.167169957108986,18,4796.86160900881,24,NA,NA
"slr1746",0.735860643764867,0.836194313973384,7,363.35289471652,24,NA,NA
"sll1415",0.23251500088206,0.28728777906561,20,71.3928028873469,24,NA,NA
"ssl3177",0.016308711801888,0.0255154800618888,4,160.525497993101,24,0.029988657132883,6
"sll1891",1,1,12,92.1756222696263,24,NA,NA
"RC4",0.00241478542441626,0.00543993571569277,18,153.437573489728,24,0.00128052241417481,20
"slr0498",0.00474194416272702,0.00896418779289781,18,176.058389664459,24,0.00505612595779296,20
"slr0347",0.00303752076444259,0.00640187507010484,18,167.197053668081,24,0.00406656262438126,20
"slr0990",0.0197614447912168,0.0303154553500658,3,141.650543095785,24,0.0115941402934945,5
"sll1921",0.00191086550171568,0.00462314772815649,20,197.7662097544,24,0.00206097276857676,22
"ssl1923",0.000185138521506077,0.00110859283948458,3,90.2304269961311,24,0.000155839998598738,5
"ssl0312",0.23251500088206,0.28728777906561,4,136.133539382847,24,NA,NA
"ssl3291",0.0579451574580159,0.0798790699431177,22,365.789514323499,24,NA,NA
"6803t01",1,1,10,8682.90726549434,24,NA,NA
"slr1579",0.00588623705812834,0.0105958379442009,19,77.0200678247006,24,0.00406656262438126,21
"slr0208",4.13436989378589e-05,0.000506496834691013,16,142.92755929279,24,6.44324063899086e-05,18
"sll1768",0.00241478542441626,0.00543993571569277,18,144.675626049266,24,0.00206097276857676,20
"slr1368",0.0109800972868579,0.0179905469251117,17,579.834547629078,24,0.00947877802007818,19
"sll0445",0.23251500088206,0.28728777906561,11,71.8841323169092,24,NA,NA
"sll1831",0.000423037439190381,0.00177563051050006,19,81.6957358139834,24,0.000466129180446284,21
"slr1044",0.174483144852047,0.220456655685877,8,200.004684199482,24,NA,NA
"slr1939",0.0684872153932854,0.09318884449314,22,21.2826901297992,24,NA,NA
"ssr1527",0.00727580800633615,0.0127464509135763,0,106.35373436302,24,0.00406656262438126,2
"slr1471",0.00895622778344652,0.0151248133098924,4,524.642572896777,24,0.00947877802007818,6
"slr0056",0.11087878690559,0.14528222003087,3,52.8606547474065,24,NA,NA
"slr1874",0.0003230180044636,0.00150322606909437,19,140.428934931863,24,0.000604707118117744,21
"sll1378",0.00024525742788674,0.00129422755324708,19,93.2697028653299,24,0.000272553222154331,21
"RC9",0.00380362285206317,0.00759191734490673,18,148.644258278511,24,0.00325662012624862,20
"ssl3383",1,1,4,39.1725969942985,24,NA,NA
"sll0887",1,1,12,90.9641805052914,24,NA,NA
"slr0147",3.00270058096354e-05,0.00041977269815325,15,5368.82513217257,24,6.44324063899086e-05,17
"slr0941",0.00117955776258611,0.00331404113686065,2,104.474795472757,24,0.00162836319529132,4
"sll0480",0.150471114598269,0.192503082772029,22,202.699730872091,24,NA,NA
"slr1552",0.000713810232710062,0.00244785368625696,18,242.724971461917,24,0.000466129180446284,21
"slr1550",3.00270058096354e-05,0.00041977269815325,19,373.869928734893,24,6.44324063899086e-05,20
"slr1861",5.65319445632437e-05,0.00058159125163432,3,119.375403402167,24,8.70260395565461e-05,5
"slr1022",0.00588623705812834,0.0105958379442009,7,185.723444621944,24,0.00947877802007818,8
"slr1050",0.0806795015977845,0.107998390748849,19,51.5393958914484,24,NA,NA
"sll1695",1,1,20,293.946635898942,24,NA,NA
"slr1349",0.174483144852047,0.220456655685877,2,45.246334892663,24,NA,NA
